label,sublabel,description,styles,bgcolor
燃やせるごみ,,,,#ff6e59
燃やせないごみ,,,,#9263d3
プラスチック,,,,#77ae1f
ペットボトル,,,,#bbe400
缶・びん,,,,#2bc7aa
古紙・布類,,,,#81d12e
蛍光管等,,,,#00b7c0
